source_file,source_lines,source_kind,top_level_classes,top_level_functions,phase,phase_name,target_module,target_package,target_artifacts,migration_strategy,mandatory_parity,implementation_owner,sidecar_required,initial_status,required
src/mathproofmesh/computation/broker.py,1326,python_source,ComputationBroker | ToolBroker,_lean_incomplete_marker,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,ComputationBroker.java; ToolBroker.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/cache.py,314,python_source,ExperimentCache | ComputationLedger,,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,ExperimentCache.java; ComputationLedger.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/contracts.py,822,python_source,,computation_contract_mode | normalize_exploratory_contract | experiment_tool_catalog | validate_experiment_contract | _validate_bounded_greedy | _validate_numeric_counterexample | _validate_modular | _validate_integer_search | _validate_relation_mapping | _validate_graph | _validate_recurrence | _validate_candidate_period | _validate_geometry | _validate_real_inequality | _validate_number_theory | _require_nonempty_string | _is_exact_integer | _is_exact_rational,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,ContractsFunctions.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/handlers/__init__.py,5,python_source,,,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,package-info.java; ComputationHandlerRegistry.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/handlers/base.py,23,python_source,HandlerEvidence,,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,HandlerEvidence.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/handlers/geometry.py,212,python_source,,_point | _orientation | _distance_squared | _concyclic_determinant | _vector | _cross | _dot | _sign | _expected_flag | run_exact_geometry,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,GeometryFunctions.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/handlers/graph.py,210,python_source,,_edge_key | run_graph_certificate,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,GraphFunctions.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/handlers/integer_search.py,285,python_source,,_exact_int | _parse_arithmetic | _to_z3 | _eval_integer | _relation | run_bounded_integer_search,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,IntegerSearchFunctions.java,Java 负责契约、输入校验、预算、超时、审计和证据门禁；仅将白名单数学内核通过版本化 stdio JSON-RPC 交给新目录内受限 Python 侧车,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-policy-plus-python-z3-sidecar,yes,pending,true
src/mathproofmesh/computation/handlers/modular.py,200,python_source,,_exact_int | _domain_values | _evaluate_modular_relation | run_modular,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,ModularFunctions.java,Java 负责契约、输入校验、预算、超时、审计和证据门禁；仅将白名单数学内核通过版本化 stdio JSON-RPC 交给新目录内受限 Python 侧车,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-fast-path-plus-python-sympy-sidecar,yes,pending,true
src/mathproofmesh/computation/handlers/number_theory.py,596,python_source,,_exact_int | _miller_rabin_is_prime | _guard_inconclusive | _certified | _claim_refuted | _verify_order | _run_multiplicative_order | _run_crt | _run_p_adic_valuation | _primitive_root_structure_allows | _run_primitive_root | _run_is_prime | _run_factorization | run_number_theory,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,NumberTheoryFunctions.java,Java 负责契约、输入校验、预算、超时、审计和证据门禁；仅将白名单数学内核通过版本化 stdio JSON-RPC 交给新目录内受限 Python 侧车,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-certified-fast-path-plus-python-sympy-sidecar,yes,pending,true
src/mathproofmesh/computation/handlers/real_inequality.py,378,python_source,UnsupportedRealOperationError,_exact_rational | _to_z3_real | _z3_relation | _parse_domain | _domain_constraints | _point_in_domain | _model_value_as_fraction | run_real_inequality,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,UnsupportedRealOperationError.java,Java 负责契约、输入校验、预算、超时、审计和证据门禁；仅将白名单数学内核通过版本化 stdio JSON-RPC 交给新目录内受限 Python 侧车,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-validation-plus-python-sympy-z3-sidecar,yes,pending,true
src/mathproofmesh/computation/handlers/recurrence.py,124,python_source,,_fraction | _sympy_fraction | _integer | run_recurrence_check,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,RecurrenceFunctions.java,Java 负责契约、输入校验、预算、超时、审计和证据门禁；仅将白名单数学内核通过版本化 stdio JSON-RPC 交给新目录内受限 Python 侧车,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-rational-fast-path-plus-python-sympy-sidecar,yes,pending,true
src/mathproofmesh/computation/handlers/sequence.py,217,python_source,,_integer | _exact | _greedy_predicate | _generate_greedy | run_bounded_greedy_sequence | run_candidate_period_check,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,SequenceFunctions.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/handlers/symbolic.py,332,python_source,UnsafeExpressionError,_validate_expression_ast | parse_expression | relation_holds_exact | sympy_simplify_payload | sympy_equivalent_payload | polynomial_factor_payload | numeric_counterexample_payload | run_symbolic,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,UnsafeExpressionError.java,Java 负责契约、输入校验、预算、超时、审计和证据门禁；仅将白名单数学内核通过版本化 stdio JSON-RPC 交给新目录内受限 Python 侧车,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-parser-policy-plus-python-sympy-sidecar,yes,pending,true
src/mathproofmesh/computation/policy.py,327,python_source,ComputationContext | ComputationGate,,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,ComputationContext.java; ComputationGate.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/sandbox.py,499,python_source,UnsafeProgramError | SandboxExecutionError,_find_docker_executable | validate_program_source | build_docker_command | build_lean_docker_command | _validate_json_value | _validate_json_object | _validate_program_schemas | run_sandboxed_python | _bounded_process_text,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,UnsafeProgramError.java; SandboxExecutionError.java,Java 负责契约、输入校验、预算、超时、审计和证据门禁；仅将白名单数学内核通过版本化 stdio JSON-RPC 交给新目录内受限 Python 侧车,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-sandbox-policy-plus-isolated-python-container,yes,pending,true
src/mathproofmesh/config.py,1255,python_source,ConfigModel | PricingConfig | AgentConfig | BudgetConfig | SchedulerConfig | TypedCommunicationConfig | RouteTeamConfig | CrossRouteConfig | BrokerConfig | ProofGraphConfig | TypedMemoryConfig | InspirationConfig | ValidationEscalationConfig | AgentCapabilityConfig | FinalTopologyConfig | GoalAlignmentControlConfig | ScopeGuardControlConfig | CoreDebtControlConfig | RealizerControlConfig | InductionControlConfig | FailureControlConfig | BottleneckControlConfig | CommonModeControlConfig | MessageUtilityControlConfig | NearMissControlConfig | FalsificationFastLaneControlConfig | BlueprintReviewControlConfig | RouteAdmissionControlConfig | ContinueGateControlConfig | SynthesisReadinessControlConfig | ProofControlConfig | TopologyConfig | VerificationConfig | ContinuationConfig | ExplorationTierPolicyConfig | DeepExplorationPolicyConfig | ComputationConfig | RuntimeConfig | SystemConfig,load_config,03,配置、预检与秘密管理,mathproofmesh-server,io.github.aililuola.mathproofmesh.config,ConfigModel.java; PricingConfig.java; AgentConfig.java; BudgetConfig.java; SchedulerConfig.java; TypedCommunicationConfig.java; RouteTeamConfig.java; CrossRouteConfig.java; BrokerConfig.java; ProofGraphConfig.java; TypedMemoryConfig.java; InspirationConfig.java; ValidationEscalationConfig.java; AgentCapabilityConfig.java; FinalTopologyConfig.java; GoalAlignmentControlConfig.java; ScopeGuardControlConfig.java; CoreDebtControlConfig.java; RealizerControlConfig.java; InductionControlConfig.java; FailureControlConfig.java; BottleneckControlConfig.java; CommonModeControlConfig.java; MessageUtilityControlConfig.java; NearMissControlConfig.java; FalsificationFastLaneControlConfig.java; BlueprintReviewControlConfig.java; RouteAdmissionControlConfig.java; ContinueGateControlConfig.java; SynthesisReadinessControlConfig.java; ProofControlConfig.java; TopologyConfig.java; VerificationConfig.java; ContinuationConfig.java; ExplorationTierPolicyConfig.java; DeepExplorationPolicyConfig.java; ComputationConfig.java; RuntimeConfig.java; SystemConfig.java,严格 YAML 解析；未知字段失败；全部 Python 默认值和交叉验证逐条移植；秘密仅从受控来源解析,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/context_policy.py,620,python_source,ContextPurpose | ContextPurposePolicy | FactContextSelection,evidence_priority | purpose_context_limits | explicit_dependency_refs | _artifact_sha256 | blind_artifact_evidence | typed_fact_context_packet | _fact_search_text | _fact_centrality | _rank_facts | select_typed_fact_context_with_diagnostics | select_typed_fact_context | select_legacy_claim_context | build_admissible_fact_context,09,验证升级、盲审与形式化微证书,mathproofmesh-core,io.github.aililuola.mathproofmesh.verification,ContextPurpose.java; ContextPurposePolicy.java; FactContextSelection.java,结构验证先行、作者隔离、盲包脱敏、风险升级与工具/形式化证书接口逐项迁移,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/continuation.py,420,python_source,,make_genesis_checkpoint | local_delta_verification | merge_verified_delta | checkpoint_to_route_message | normalize_delta_claims | attempt_from_checkpoint | _deduplicate,12,路线团队、调度与运行阶段,mathproofmesh-core,io.github.aililuola.mathproofmesh.orchestration,ContinuationFunctions.java,先实现数据库驱动的同步/并发应用服务，再交由 Temporal 包装；保持路线隔离和自适应调度,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/critical_calculations.py,547,python_source,CalculationGateBatch | CriticalCalculationGate,calculation_trigger,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,CalculationGateBatch.java; CriticalCalculationGate.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/cross_route_phase.py,26,python_source,,distinct_agent_exclusions | team_reviews_allow_global_share,12,路线团队、调度与运行阶段,mathproofmesh-core,io.github.aililuola.mathproofmesh.orchestration,CrossRoutePhaseService.java,先实现数据库驱动的同步/并发应用服务，再交由 Temporal 包装；保持路线隔离和自适应调度,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/deep_exploration.py,683,python_source,ExplorationOutcome | ExplorationModel | ExplorationSignature | ExplorationEvidence | ExplorationAdmission | ExplorationAttemptRecord | BottleneckPivotRecord | DeepExplorationRegistry,_normalized | _tokens | _jaccard,12,路线团队、调度与运行阶段,mathproofmesh-core,io.github.aililuola.mathproofmesh.orchestration,ExplorationOutcome.java; ExplorationModel.java; ExplorationSignature.java; ExplorationEvidence.java; ExplorationAdmission.java; ExplorationAttemptRecord.java; BottleneckPivotRecord.java; DeepExplorationRegistry.java,先实现数据库驱动的同步/并发应用服务，再交由 Temporal 包装；保持路线隔离和自适应调度,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/desktop/__init__.py,6,python_source,,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,package-info.java; DesktopLauncher.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/app.py,475,python_source,_ApiModel | StartRunRequest | ResumeRunRequest | ClarificationDecisionRequest | CredentialsRequest | OpenPathRequest,_sse | build_desktop_services | create_desktop_app,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,DesktopApiModel.java; StartRunRequest.java; ResumeRunRequest.java; ClarificationDecisionRequest.java; CredentialsRequest.java; OpenPathRequest.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/configuration.py,130,python_source,DesktopConfigService,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,DesktopConfigService.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/main.py,131,python_source,,configure_logging | show_error | _parse_args | run,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,MainFunctions.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/manager.py,490,python_source,LiveRun | DesktopRunManager,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,LiveRun.java; DesktopRunManager.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/paths.py,83,python_source,DesktopPaths,bundle_root | resource_path | web_root,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,DesktopPaths.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/repository.py,730,python_source,DesktopRunMetadata | RunRepository,utc_now | validate_run_id | validate_task_id | redact_display_payload | collapse_activity_payloads | _activity_elapsed | _active_activity_parent,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,DesktopRunMetadata.java; RunRepository.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/runtime.py,138,python_source,SingleInstance | LocalDesktopServer,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,SingleInstance.java; LocalDesktopServer.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/security.py,232,python_source,SecretProtector | _DataBlob | WindowsDpapiProtector | CredentialVault,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,SecretProtector.java; DpapiDataBlob.java; WindowsDpapiProtector.java; CredentialVault.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/settings.py,62,python_source,DesktopSettings | SettingsStore,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,DesktopSettings.java; SettingsStore.java,JavaFX WebView + loopback server；Windows DPAPI；jpackage；WebView 不接触 API key,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/web/assets/app-icon.png,0,binary_resource,,,15,JavaFX 桌面端与本地打包,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop.web.assets,src/main/resources/io/github/aililuola/mathproofmesh/desktop/web/assets/app-icon.png,按原始字节复制二进制资源并记录 SHA-256；不得重编码、缩放或二次压缩；JavaFX 与 jpackage 均从 classpath 读取,复制后 SHA-256 与源文件完全一致；桌面启动与打包 smoke test 能成功加载图标,resource-copy,no,pending,true
src/mathproofmesh/desktop/web/assets/app.js,2185,text_resource,,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,按原相对路径复制到 mathproofmesh-desktop/src/main/resources/web/；只允许必要的 API 地址适配,资源复制并通过桌面/API 集成测试核验；禁止从原目录运行时引用,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/web/assets/styles.css,2311,text_resource,,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,按原相对路径复制到 mathproofmesh-desktop/src/main/resources/web/；只允许必要的 API 地址适配,资源复制并通过桌面/API 集成测试核验；禁止从原目录运行时引用,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/web/assets/topology.js,899,text_resource,,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,按原相对路径复制到 mathproofmesh-desktop/src/main/resources/web/；只允许必要的 API 地址适配,资源复制并通过桌面/API 集成测试核验；禁止从原目录运行时引用,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/desktop/web/index.html,556,text_resource,,,15,JavaFX 桌面端与安全凭据,mathproofmesh-desktop,io.github.aililuola.mathproofmesh.desktop,按原相对路径复制到 mathproofmesh-desktop/src/main/resources/web/；只允许必要的 API 地址适配,资源复制并通过桌面/API 集成测试核验；禁止从原目录运行时引用,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,javafx-native,no,pending,true
src/mathproofmesh/goal_preflight.py,170,python_source,GoalNormalizationError | GoalClarificationRequired,deterministic_goal_precheck | candidate_statements | validate_clarification_decision | decision_confidence | requires_confirmation,03,配置、预检与秘密管理,mathproofmesh-server,io.github.aililuola.mathproofmesh.config,GoalNormalizationError.java; GoalClarificationRequired.java,严格 YAML 解析；未知字段失败；全部 Python 默认值和交叉验证逐条移植；秘密仅从受控来源解析,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
