source_file,file_kind,source_size_bytes,source_sha256,phase,phase_name,target_path,disposition,required_action,parity_gate,initial_status,required
benchmarks/proof_control/run_mock_benchmark.py,benchmark_runner,23818,e08b64c05acb6a0a8e1678ba3315027cbce20887b640cd2485ac81a60ba72be6,10,Proof Control,migration/baseline/auxiliary/benchmarks/proof_control/run_mock_benchmark.py; mathproofmesh-compatibility/src/test/java/io/github/aililuola/mathproofmesh/compatibility/benchmark/ProofControlBenchmarkTest.java; scripts/benchmark-proof-control.ps1; scripts/benchmark-proof-control.sh,copy-reference-and-reimplement,保留 Python runner；用 Java Mock/固定 seed 重写，输出机器可读 JSON 与人类报告，Provider 调用必须为 0,Python 基线 fixture 与 Java 结果的组件契约、case 数、variant 数一致；无付费调用,pending,true
benchmarks/reasoning_first_computation.py,benchmark_runner,5672,941d372eed641ff4c681ff3121d482a4532af800d208f1b9d7d318623f5154f3,08,计算引擎与受限侧车,migration/baseline/auxiliary/benchmarks/reasoning_first_computation.py; mathproofmesh-compatibility/src/test/java/io/github/aililuola/mathproofmesh/compatibility/benchmark/ReasoningFirstComputationBenchmarkTest.java,copy-reference-and-reimplement,重写为 Java/sidecar 差分基准，保留 reasoning-first 证据门禁与确定性输入,相同 fixture 下 decision/evidence/certificate 一致；Provider 调用为 0,pending,true
benchmarks/topology/README.md,benchmark_documentation,891,6be46038332e75e28f93e7e0af62ec9c333d35c852987ccdc0f0fdc2d0531530,05,通信与拓扑,migration/baseline/auxiliary/benchmarks/topology/README.md; docs/benchmarks/topology/README.md,copy-reference-and-rewrite,保留旧说明并编写 Java 运行命令、输入、指标和零 Provider 调用约束,旧 SHA 一致；新命令可执行并生成报告,pending,true
benchmarks/topology/__init__.py,benchmark_support,80,f634471cc47f35296e3e6aef16ea4ef5a82faa677fe5199b6c6ec36183820eab,00,基线、库存与环境预检,migration/baseline/auxiliary/benchmarks/topology/__init__.py,baseline-only,按字节保存以完成库存；Java 无包初始化副作用，不生成运行时代码,SHA-256 一致；无生产依赖,pending,true
benchmarks/topology/computation_scope_case.json,benchmark_fixture,465,611f42e3a56923d41711b759880a3bd6e8f1b3e1cd3093d50a3b6be9e24bdf57,05,通信与拓扑,mathproofmesh-compatibility/src/test/resources/benchmarks/topology/computation_scope_case.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/topology/contradiction_case.json,benchmark_fixture,427,97e7f04b1f70420d9e3c82baeafd3aeb236dd975aa12ef53bbd50ed0974d713e,05,通信与拓扑,mathproofmesh-compatibility/src/test/resources/benchmarks/topology/contradiction_case.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/topology/duplicate_route_case.json,benchmark_fixture,618,907f90c85f006d11a171f69d07217e0fdbac9fa8655f051853688adbe0f95656,05,通信与拓扑,mathproofmesh-compatibility/src/test/resources/benchmarks/topology/duplicate_route_case.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/topology/mock_benchmark_results.json,benchmark_fixture,20448,2f5d2f0a2a5bf94d0ce8a20e0e585a0c280691cb3dc2815926fbc01bd7e9e826,05,通信与拓扑,mathproofmesh-compatibility/src/test/resources/benchmarks/topology/mock_benchmark_results.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/topology/mutation_review_cases.json,benchmark_fixture,549,4b8f63c7bdc851e0938e107e51e113d5c85012c8582cd1dd7e366b04852a872f,05,通信与拓扑,mathproofmesh-compatibility/src/test/resources/benchmarks/topology/mutation_review_cases.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/topology/resume_delivery_case.json,benchmark_fixture,361,c31e04f736b78c5a6b9b43d749140f677fbadb12b156350e50c0c95e92f1ed81,05,通信与拓扑,mathproofmesh-compatibility/src/test/resources/benchmarks/topology/resume_delivery_case.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/topology/run_mock_benchmark.py,benchmark_runner,33145,928e08cbdfb6f5e6f9645e0fcc79699bf4bd3d8f91b537f5772347ce4db9e94d,05,通信与拓扑,migration/baseline/auxiliary/benchmarks/topology/run_mock_benchmark.py; mathproofmesh-compatibility/src/test/java/io/github/aililuola/mathproofmesh/compatibility/benchmark/TopologyBenchmarkTest.java; scripts/benchmark-topology.ps1; scripts/benchmark-topology.sh,copy-reference-and-reimplement,保留 Python runner；用 Java Mock/固定 seed 重写，输出机器可读 JSON 与人类报告，Provider 调用必须为 0,Python 基线 fixture 与 Java 结果的组件契约、case 数、variant 数一致；无付费调用,pending,true
benchmarks/topology/shared_bridge_case.json,benchmark_fixture,431,ebaefb704c95c3b35e782f924c87bb953afb4d4c344f3d9f7142a6228b537794,05,通信与拓扑,mathproofmesh-compatibility/src/test/resources/benchmarks/topology/shared_bridge_case.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
config.deepseek-v4-pro.proof-control-active.yaml,configuration,17645,6173be9ac59aec5de64d3c4d2605283b5524a68447a44a6c2ebf284255aa9192,03,配置、Profile 与秘密管理,migration/baseline/auxiliary/config.deepseek-v4-pro.proof-control-active.yaml; config/proof-control-active.yaml,copy-fixture-and-translate-strictly,先按字节保存基线，再逐字段转换为 Java 严格 YAML；字段重命名必须有兼容映射，未知字段失败，API key 只用环境变量引用,基线 SHA 一致；Python/Java 脱敏配置语义和所有 validator 结果一致,pending,true
config.deepseek-v4-pro.proof-control-shadow.yaml,configuration,17573,83ad1623d0fa7bb657e411186d86188f9bc4f33b5984bcda7026f600a1bbd58a,03,配置、Profile 与秘密管理,migration/baseline/auxiliary/config.deepseek-v4-pro.proof-control-shadow.yaml; config/proof-control-shadow.yaml,copy-fixture-and-translate-strictly,先按字节保存基线，再逐字段转换为 Java 严格 YAML；字段重命名必须有兼容映射，未知字段失败，API key 只用环境变量引用,基线 SHA 一致；Python/Java 脱敏配置语义和所有 validator 结果一致,pending,true
config.deepseek-v4-pro.smoke.yaml,configuration,10573,5f6ce9b8e74ad733c50d4d8f21496ba893c987b6c56d446f2630a25faa1feacb,03,配置、Profile 与秘密管理,migration/baseline/auxiliary/config.deepseek-v4-pro.smoke.yaml; config/deepseek-v4-pro-smoke.yaml,copy-fixture-and-translate-strictly,先按字节保存基线，再逐字段转换为 Java 严格 YAML；字段重命名必须有兼容映射，未知字段失败，API key 只用环境变量引用,基线 SHA 一致；Python/Java 脱敏配置语义和所有 validator 结果一致,pending,true
config.deepseek-v4-pro.topology-active.yaml,configuration,17194,351ab270aa1fb35f05bb5344564bdcc69cb3e5017953d5515b5878dc471df7f4,03,配置、Profile 与秘密管理,migration/baseline/auxiliary/config.deepseek-v4-pro.topology-active.yaml; config/topology-active.yaml,copy-fixture-and-translate-strictly,先按字节保存基线，再逐字段转换为 Java 严格 YAML；字段重命名必须有兼容映射，未知字段失败，API key 只用环境变量引用,基线 SHA 一致；Python/Java 脱敏配置语义和所有 validator 结果一致,pending,true
config.deepseek-v4-pro.yaml,configuration,11343,c5fe586cc9b1cea4e76ce0aa47fbf74039443daf67d254774edd1ce116a1604a,03,配置、Profile 与秘密管理,migration/baseline/auxiliary/config.deepseek-v4-pro.yaml; config/deepseek-v4-pro.yaml,copy-fixture-and-translate-strictly,先按字节保存基线，再逐字段转换为 Java 严格 YAML；字段重命名必须有兼容映射，未知字段失败，API key 只用环境变量引用,基线 SHA 一致；Python/Java 脱敏配置语义和所有 validator 结果一致,pending,true
config.example.yaml,configuration,10173,9733bcbf4f8d87c9bbceb4b5f22f54bc8384c80a2eda922a934fc7dab4945a68,03,配置、Profile 与秘密管理,migration/baseline/auxiliary/config.example.yaml; config/application.yaml,copy-fixture-and-translate-strictly,先按字节保存基线，再逐字段转换为 Java 严格 YAML；字段重命名必须有兼容映射，未知字段失败，API key 只用环境变量引用,基线 SHA 一致；Python/Java 脱敏配置语义和所有 validator 结果一致,pending,true
docs/ACTIVITY_TIMELINE.md,documentation,7047,63a2bf89890ba603892569aa512b7f6c8f1c520c13163025dab95712600c66ed,14,REST/SSE、CLI 与示例,docs/legacy/python-baseline/ACTIVITY_TIMELINE.md; docs/observability.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/AGENT_CAPABILITY_PROFILE.md,documentation,1168,4a77762aae88e8992bf1d7b0a9277bf381f49a5331627a3b2781cd3b0236543b,09,验证体系,docs/legacy/python-baseline/AGENT_CAPABILITY_PROFILE.md; docs/verification.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/ARCHITECTURE.md,documentation,20488,703af1db56c2425e526e1f177c0bc01c9ef61d4500d35f4c5fd781ca6dd1fe17,17,文档、CI、发布与最终验收,docs/legacy/python-baseline/ARCHITECTURE.md; docs/architecture.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/CHECKPOINT_RESUME.md,documentation,11025,e47ad6bbceb86438abf4bd4139990f5ea73a3b3c6ee608f36fd90236ff273db4,13,Temporal 持久工作流,docs/legacy/python-baseline/CHECKPOINT_RESUME.md; docs/compatibility.md; docs/temporal.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/COMMUNICATION_TOPOLOGY.md,documentation,5903,1888bdc9036bdfa6de8d3b8b571f1ea98f2798bf82c706ed14cc375165ec8cdf,05,通信与拓扑,docs/legacy/python-baseline/COMMUNICATION_TOPOLOGY.md; docs/communication.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/COMPUTATION_POLICY.md,documentation,14378,ca63c15615938d408b83c0f5a1e588f8f72b2b661794c52d13d93a56a4193bd1,08,计算引擎与受限侧车,docs/legacy/python-baseline/COMPUTATION_POLICY.md; docs/computation.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/DEEPSEEK_V4_PRO.md,documentation,12851,48e5773893ff7540efe826a85af1fc86364a03f2df231461db4f2110ac543e52,07,Agent/Provider,docs/legacy/python-baseline/DEEPSEEK_V4_PRO.md; docs/providers.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/DEPLOYMENT.md,documentation,8663,455b6ff1685ef8f9675799c8309b9cdde73d3448d1e7ba98ecd30a503559ee74,17,文档、CI、发布与最终验收,docs/legacy/python-baseline/DEPLOYMENT.md; docs/operations.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/GOAL_PLAN_FAILURE_UTILITY_CONTROL.md,documentation,5836,3fb72e601d1f936cb693b8ae49583de1dc381aebed53c0a549303ba23673a846,10,Proof Control,docs/legacy/python-baseline/GOAL_PLAN_FAILURE_UTILITY_CONTROL.md; docs/proof-control.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/INSPIRATION_ENGINE.md,documentation,15705,a971b7877d82eba1ee1cf33a096577fd8873e68679a3cb96ae544bf52a78fe1f,11,Inspiration Engine,docs/legacy/python-baseline/INSPIRATION_ENGINE.md; docs/inspiration.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/MATHPROOFMESH_0.7_OVERVIEW.md,documentation,47040,481ca018446fa04cb7746899c77d6ee23576996b8d2e072e7b11084abcaed806,16,旧版本兼容与差分验证,docs/legacy/python-baseline/MATHPROOFMESH_0.7_OVERVIEW.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/MIGRATION_0.7.md,documentation,2050,d5ccdac9e69fc897ae6615626d2da8fc9e742582ad2b729b2a1ae9d9eebec234,16,旧版本兼容与差分验证,docs/legacy/python-baseline/MIGRATION_0.7.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/NEAR_MISS_AND_REALIZER_REPAIR.md,documentation,3962,bdecdc352fb3db43c36d9435a6095bd479533535a96221efe68923d9833c5599,10,Proof Control,docs/legacy/python-baseline/NEAR_MISS_AND_REALIZER_REPAIR.md; docs/proof-control.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/PROMPT_PROTOCOL.md,documentation,13820,22d22fdcf5cf7e16f2c2e4325c4c68cdea484d2f0aaef89afbc41e0e82448921,07,Agent/Provider,docs/legacy/python-baseline/PROMPT_PROTOCOL.md; docs/providers.md; docs/contracts.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
docs/PROOF_CONTROL_MIGRATION_0.8.md,documentation,3224,d051aa9435241874f265aca71a076d03a3cc6744eccd651405cc8fc7cc4a4825,10,Proof Control,docs/legacy/python-baseline/PROOF_CONTROL_MIGRATION_0.8.md; docs/proof-control.md; docs/compatibility.md,copy-reference-and-consolidate,按字节保存旧文档；把仍有效的理论、状态机、协议、限制和运维内容合并到指定 Java 文档，不照搬已失效的 Python 实现细节,旧文档 SHA 一致；指定 Java 文档覆盖其仍有效要求并通过链接/术语审查,pending,true
